

learning rate is 0.001
Length of combined dataset: 427488
Batches (batch size 64): 6679.5
Total batches per epoch: 2672
Device: cuda
Clean min/max: -6.58745813369751 6.375804424285889
Noisy min/max: -6.10427188873291 6.399647235870361
Epoch [1/40] Training Loss: 0.498376
Epoch [1/40] Validation Loss: 0.052279
Epoch [2/40] Training Loss: 0.047672
Epoch [2/40] Validation Loss: 0.039189
Epoch [3/40] Training Loss: 0.041260
Epoch [3/40] Validation Loss: 0.036392
Epoch [4/40] Training Loss: 0.038563
Epoch [4/40] Validation Loss: 0.037365
Epoch [5/40] Training Loss: 0.036249
Epoch [5/40] Validation Loss: 0.036489
Epoch [6/40] Training Loss: 0.034080
Epoch [6/40] Validation Loss: 0.031050
Epoch [7/40] Training Loss: 0.031910
Epoch [7/40] Validation Loss: 0.028451
Epoch [8/40] Training Loss: 0.057762
Epoch [8/40] Validation Loss: 0.035756
Epoch [9/40] Training Loss: 0.033583
Epoch [9/40] Validation Loss: 0.029568
Epoch [10/40] Training Loss: 0.031062
Epoch [10/40] Validation Loss: 0.029767
Epoch [11/40] Training Loss: 0.030098
Epoch [11/40] Validation Loss: 0.027176
Epoch [12/40] Training Loss: 0.029490
Epoch [12/40] Validation Loss: 0.027122
Epoch [13/40] Training Loss: 0.028963
Epoch [13/40] Validation Loss: 0.026213
Epoch [14/40] Training Loss: 0.028539
Epoch [14/40] Validation Loss: 0.026466
Epoch [15/40] Training Loss: 0.028124
Epoch [15/40] Validation Loss: 0.025849
Epoch [16/40] Training Loss: 0.028182
Epoch [16/40] Validation Loss: 0.025737
Epoch [17/40] Training Loss: 0.027707
Epoch [17/40] Validation Loss: 0.027618
Epoch [18/40] Training Loss: 0.027597
Epoch [18/40] Validation Loss: 0.027573
Epoch [19/40] Training Loss: 0.027408
Epoch [19/40] Validation Loss: 0.025561
Epoch [20/40] Training Loss: 0.027319
Epoch [20/40] Validation Loss: 0.025786
Epoch [21/40] Training Loss: 0.027216
Epoch [21/40] Validation Loss: 0.027347
Epoch [22/40] Training Loss: 0.027091
Epoch [22/40] Validation Loss: 0.025354
Epoch [23/40] Training Loss: 0.027025
Epoch [23/40] Validation Loss: 0.028678
Epoch [24/40] Training Loss: 0.026947
Epoch [24/40] Validation Loss: 0.025213
Epoch [25/40] Training Loss: 0.026746
Epoch [25/40] Validation Loss: 0.028945
Epoch [26/40] Training Loss: 0.026825
Epoch [26/40] Validation Loss: 0.029864
Epoch [27/40] Training Loss: 0.026658
Epoch [27/40] Validation Loss: 0.026093
Epoch [28/40] Training Loss: 0.026504
Epoch [28/40] Validation Loss: 0.027090
Epoch [29/40] Training Loss: 0.026473
Epoch [29/40] Validation Loss: 0.027082
Early stopping triggered after 29 epochs.
Training complete. Best loss: 0.025213


